,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,hour,minute
95,3,0,1,4,0,14,3,5,9,0,5,7,0,0,3,2,8,1,0,2,0,1,4,2,5,0,13,2
96,4,2,1,4,2,14,3,2,9,4,5,3,0,3,3,4,8,1,0,2,1,0,0,2,5,10,8,55
97,6,0,1,1,1,7,3,0,7,1,5,7,0,0,3,2,8,0,0,2,3,2,5,3,5,0,8,40
98,5,0,1,0,1,0,3,5,5,2,0,1,3,3,0,4,8,1,2,3,3,2,5,3,5,12,19,32
99,0,0,1,1,3,0,3,2,7,2,5,1,0,3,3,2,8,2,0,2,2,1,4,2,8,12,17,10
100,3,0,1,1,2,9,0,5,7,0,5,7,0,0,0,2,2,1,0,2,0,1,1,2,5,9,22,20
101,5,2,1,1,0,0,3,3,9,6,8,7,0,0,0,2,8,0,0,0,3,2,5,3,5,1,17,6
102,0,2,1,4,4,0,3,1,9,4,1,0,0,0,0,2,0,1,1,2,0,0,0,1,5,13,20,30
103,5,3,1,2,4,8,3,5,6,4,5,7,0,0,3,2,8,1,0,2,3,2,5,3,5,10,8,20
104,0,0,1,3,0,7,3,5,6,1,5,7,0,0,3,2,8,1,0,2,2,0,0,2,5,3,16,0
105,4,2,1,4,1,0,3,3,7,1,3,7,0,0,3,2,8,1,1,2,2,1,3,1,5,5,10,20
106,5,3,1,4,0,7,3,5,9,2,5,7,3,3,3,2,8,0,0,4,2,0,0,2,1,10,16,24
107,2,1,1,4,3,0,3,5,1,2,5,7,0,0,3,2,1,1,0,2,3,2,5,3,5,1,18,35
108,3,1,1,4,3,0,3,0,6,4,0,0,0,0,3,2,0,1,0,2,1,1,4,2,5,13,8,45
109,2,1,1,4,2,4,3,1,7,4,5,0,0,0,3,2,2,2,0,4,1,0,3,2,5,9,16,41
110,1,2,1,4,0,0,3,3,7,6,5,7,0,0,3,2,8,2,1,2,3,2,5,3,5,4,8,15
111,1,1,1,4,1,14,3,1,7,4,5,1,0,0,3,3,2,1,0,2,0,1,1,2,5,4,7,24
112,0,0,1,1,1,10,3,5,7,2,5,0,0,0,0,2,8,1,0,2,0,0,0,2,5,3,19,46
113,4,0,1,1,0,7,3,1,6,2,5,7,0,3,0,2,8,1,1,7,0,1,0,2,5,1,21,25
114,0,2,1,4,2,5,3,5,6,4,5,1,0,3,3,4,2,1,1,2,0,1,0,2,5,12,15,30
