,Accident_severity
1309,Slight Injury
1310,Slight Injury
1311,Slight Injury
1312,Slight Injury
1313,Slight Injury
1314,Serious Injury
1315,Serious Injury
1316,Serious Injury
1317,Slight Injury
1318,Slight Injury
1319,Slight Injury
1320,Slight Injury
1321,Slight Injury
1322,Slight Injury
1323,Slight Injury
1324,Slight Injury
1325,Slight Injury
1326,Serious Injury
1327,Slight Injury
1328,Slight Injury
1329,Slight Injury
1330,Slight Injury
1331,Slight Injury
1332,Serious Injury
1333,Serious Injury
1334,Slight Injury
1335,Slight Injury
1336,Slight Injury
1337,Slight Injury
1338,Slight Injury
1339,Slight Injury
1340,Slight Injury
1341,Slight Injury
1342,Slight Injury
1343,Slight Injury
1344,Slight Injury
1345,Slight Injury
1346,Slight Injury
1347,Slight Injury
1348,Slight Injury
1349,Slight Injury
1350,Slight Injury
1351,Slight Injury
1352,Serious Injury
1353,Slight Injury
1354,Slight Injury
1355,Slight Injury
1356,Slight Injury
1357,Slight Injury
1358,Slight Injury
1359,Slight Injury
1360,Slight Injury
1361,Serious Injury
1362,Slight Injury
1363,Slight Injury
1364,Slight Injury
1365,Slight Injury
1366,Slight Injury
1367,Slight Injury
1368,Slight Injury
1369,Slight Injury
1370,Slight Injury
1371,Slight Injury
1372,Serious Injury
1373,Serious Injury
1374,Slight Injury
1375,Serious Injury
1376,Serious Injury
1377,Slight Injury
1378,Slight Injury
1379,Slight Injury
1380,Slight Injury
1381,Slight Injury
1382,Slight Injury
1383,Slight Injury
1384,Slight Injury
1385,Slight Injury
1386,Slight Injury
1387,Slight Injury
1388,Slight Injury
1389,Slight Injury
1390,Slight Injury
1391,Slight Injury
1392,Slight Injury
1393,Slight Injury
1394,Slight Injury
1395,Slight Injury
1396,Slight Injury
1397,Slight Injury
1398,Slight Injury
1399,Slight Injury
1400,Slight Injury
1401,Slight Injury
1402,Slight Injury
1403,Slight Injury
1404,Slight Injury
1405,Slight Injury
1406,Slight Injury
1407,Slight Injury
1408,Slight Injury
1409,Slight Injury
1410,Slight Injury
1411,Slight Injury
1412,Slight Injury
1413,Slight Injury
1414,Slight Injury
1415,Slight Injury
1416,Slight Injury
1417,Slight Injury
1418,Slight Injury
1419,Slight Injury
1420,Slight Injury
1421,Slight Injury
1422,Slight Injury
1423,Slight Injury
1424,Slight Injury
1425,Slight Injury
1426,Serious Injury
1427,Slight Injury
1428,Slight Injury
1429,Serious Injury
1430,Slight Injury
1431,Slight Injury
1432,Slight Injury
1433,Slight Injury
1434,Slight Injury
1435,Slight Injury
1436,Serious Injury
1437,Serious Injury
